date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:44:06	93/93	---M--	200	added ('OK')	text/html	date:Sat,%2003%20Feb%202024%2013:44:06%20GMT	https://phonghaitran.preview.softr.app/robots.txt		(from )
00:44:07	188031/188031	---MCZ	200	added ('OK')	text/html	date:Sat,%2003%20Feb%202024%2013:44:06%20GMT	https://phonghaitran.preview.softr.app/	C:/My%20Web%20Sites/Resume/Personal%20Resume/phonghaitran.preview.softr.app/index.html	(from )
00:44:09	155758/155758	---MCZ	200	added ('OK')	text/css	etag:W/%22a15c2ac3234aa8f6064ef9c1f7383c37%22	https://assets.softr-files.com/libs/bootstrap/4.3.1/css/bootstrap.min.css	C:/My%20Web%20Sites/Resume/Personal%20Resume/assets.softr-files.com/libs/bootstrap/4.3.1/css/bootstrap.min.css	(from https://phonghaitran.preview.softr.app/)
00:44:09	34757/34757	---M--	200	added ('OK')	image/jpeg	etag:%22437c2d8a6e0b86155842b86a5fae4079%22	https://assets.softr-files.com/applications/ae1eb2e3-41b5-44a1-a27f-532153d95815/assets/9deb11c1-85bf-4537-aee5-3b223fd032d3.jpeg?rnd=1706943756219	C:/My%20Web%20Sites/Resume/Personal%20Resume/assets.softr-files.com/applications/ae1eb2e3-41b5-44a1-a27f-532153d95815/assets/9deb11c1-85bf-4537-aee5-3b223fd032d3f694.jpg	(from https://phonghaitran.preview.softr.app/)
00:44:09	102526/102526	---MCZ	200	added ('OK')	text/css	etag:W/%22c43cd173eeeba2f72aa6b431d06b8c07%22	https://assets.softr-files.com/libs/font-awesome/6.5.0/css/all.min.css	C:/My%20Web%20Sites/Resume/Personal%20Resume/assets.softr-files.com/libs/font-awesome/6.5.0/css/all.min.css	(from https://phonghaitran.preview.softr.app/)
00:44:09	87462/87462	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e6c2415c0ace414e5153670314ce99a9%22	https://assets.softr-files.com/libs/jquery/3.7.0/jquery.min.js	C:/My%20Web%20Sites/Resume/Personal%20Resume/assets.softr-files.com/libs/jquery/3.7.0/jquery.min.js	(from https://phonghaitran.preview.softr.app/)
00:44:09	21004/21004	---MCZ	200	added ('OK')	application/javascript	etag:W/%2256456db9d72a4b380ed3cb63095e6022%22	https://assets.softr-files.com/libs/popper.js/1.14.7/umd/popper.min.js	C:/My%20Web%20Sites/Resume/Personal%20Resume/assets.softr-files.com/libs/popper.js/1.14.7/umd/popper.min.js	(from https://phonghaitran.preview.softr.app/)
00:44:09	58072/58072	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e1d98d47689e00f8ecbc5d9f61bdb42e%22	https://assets.softr-files.com/libs/bootstrap/4.3.1/js/bootstrap.min.js	C:/My%20Web%20Sites/Resume/Personal%20Resume/assets.softr-files.com/libs/bootstrap/4.3.1/js/bootstrap.min.js	(from https://phonghaitran.preview.softr.app/)
00:44:10	7102/7102	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dd694c727fc5e6f6372e142b66ddb576%22	https://assets.softr-files.com/libs/micromodal/0.4.10/micromodal.min.js	C:/My%20Web%20Sites/Resume/Personal%20Resume/assets.softr-files.com/libs/micromodal/0.4.10/micromodal.min.js	(from https://phonghaitran.preview.softr.app/)
00:44:11	13454/13454	---MCZ	200	added ('OK')	application/javascript	etag:W/%2252d6fb0d394ff9d946143dfb1104719b%22	https://assets.softr-files.com/libs/iframe-resizer/4.2.11/iframeResizer.contentWindow.min.js	C:/My%20Web%20Sites/Resume/Personal%20Resume/assets.softr-files.com/libs/iframe-resizer/4.2.11/iframeResizer.contentWindow.min.js	(from https://phonghaitran.preview.softr.app/)
